Year Local,Month Local,Day Local,Hour Local,Year UTC,Month UTC,Day UTC,Hour UTC,Cavok Reported,Cloud Ceiling (m),Cloud Cover Fraction,Cloud Cover Fraction 1,Cloud Cover Fraction 2,Cloud Cover Fraction 3,Cloud Cover Fraction 4,Cloud Cover Fraction 5,Cloud Cover Fraction 6,Cloud Height (m) 1,Cloud Height (m) 2,Cloud Height (m) 3,Cloud Height (m) 4,Cloud Height (m) 5,Cloud Height (m) 6,Dew Point (C),Humidity Fraction,Precipitation One Hour (mm),Pressure Altimeter (mbar),Pressure Sea Level (mbar),Pressure Station (mbar),Snow Depth (cm),Temperature (C),Visibility (km),Weather Code 1,Weather Code 1/ Description,Weather Code 2,Weather Code 2/ Description,Weather Code 3,Weather Code 3/ Description,Weather Code 4,Weather Code 4/ Description,Weather Code 5,Weather Code 5/ Description,Weather Code 6,Weather Code 6/ Description,Weather Code Most Severe / Icon Code,Weather Code Most Severe,Weather Code Most Severe / Description,Wind Direction (degrees),Wind Gust (m/s),Wind Speed (m/s)
1993.0,1.0,1.0,0.0,1993.0,1.0,1.0,5.0,0,,0.5,0.5,0.5,0.4,,,,3000,7500,,,,,21.1,0.8748,0,1017.3,1017,1016.3,,23.3,12.8,900,cloud development not observed or not observable,,,,,,,,,,,0,900,cloud development not observed or not observable,50,,4.1
1993.0,1.0,1.0,1.0,1993.0,1.0,1.0,6.0,0,,0.5,0.1,0.25,0.1,0.5,,,600,1050,3000,7500,,,20.6,0.8744,0,,1016.8,1016.1,,22.8,16,,,,,,,,,,,,,0,,,50,,4.6
1993.0,1.0,1.0,2.0,1993.0,1.0,1.0,7.0,0,7500,0.9,0.5,0.9,0.5,0.25,,,3000,7500,,,,,21.1,0.9017,0,1016.6,1016.7,1015.9,,22.8,16,900,cloud development not observed or not observable,,,,,,,,,,,0,900,cloud development not observed or not observable,50,,4.1
1993.0,1.0,1.0,3.0,1993.0,1.0,1.0,8.0,0,7500,0.9,0.5,0.9,0.5,0.25,,,3000,7500,,,,,20.6,0.8744,0,1016.3,1016.2,1015.4,,22.8,16,900,cloud development not observed or not observable,,,,,,,,,,,0,900,cloud development not observed or not observable,40,,4.1
1993.0,1.0,1.0,4.0,1993.0,1.0,1.0,9.0,0,7500,0.9,0.5,0.9,0.5,0.25,,,3000,7500,,,,,21.1,0.9017,0,1015.9,1016,1015.2,,22.8,16,900,cloud development not observed or not observable,,,,,,,,,,,0,900,cloud development not observed or not observable,50,,4.6
1993.0,1.0,1.0,5.0,1993.0,1.0,1.0,10.0,0,,0.5,0.5,0.1,0.4,,,,3000,7500,,,,,19.4,0.842,0,1015.9,1015.8,1015.1,,22.2,16,900,cloud development not observed or not observable,,,,,,,,,,,0,900,cloud development not observed or not observable,60,,3.6
1993.0,1.0,1.0,6.0,1993.0,1.0,1.0,11.0,0,,0.5,0.1,0.5,0.4,,,,600,1050,7500,,,,20.6,0.9068,0,1016.6,1016.5,1015.7,,22.2,16,900,cloud development not observed or not observable,,,,,,,,,,,0,900,cloud development not observed or not observable,60,,4.1
1993.0,1.0,1.0,7.0,1993.0,1.0,1.0,12.0,0,,0.5,0.1,0.5,0.25,,,,600,1050,7500,,,,21.1,0.9017,0,,1016.8,1016.1,,22.8,16,,,,,,,,,,,,,0,,,10,,4.1
1993.0,1.0,1.0,8.0,1993.0,1.0,1.0,13.0,0,,0.5,0.5,0.5,0.1,0.25,,,450,3000,7500,,,,21.1,0.9017,0,1017.6,1017.5,1016.8,,22.8,16,900,cloud development not observed or not observable,,,,,,,,,,,0,900,cloud development not observed or not observable,30,,6.7
1993.0,1.0,1.0,9.0,1993.0,1.0,1.0,14.0,0,7500,0.9,0.1,0.5,0.6,0.9,,,360,450,3600,7500,,,21.1,0.8748,0,1018.3,1018.2,1017.4,,23.3,16,900,cloud development not observed or not observable,,,,,,,,,,,0,900,cloud development not observed or not observable,50,,5.2
1993.0,1.0,1.0,10.0,1993.0,1.0,1.0,15.0,0,,0.5,0.5,0.1,0.4,0.25,,,450,3600,7500,,,,21.1,0.8438,0,1018.3,1018.4,1017.6,,23.9,16,900,cloud development not observed or not observable,,,,,,,,,,,0,900,cloud development not observed or not observable,50,,6.2
1993.0,1.0,1.0,11.0,1993.0,1.0,1.0,16.0,0,,0.75,0.5,0.1,0.75,0.1,,,450,3000,7500,,,,21.1,0.819,0,1018.6,1018.5,1017.8,,24.4,16,900,cloud development not observed or not observable,,,,,,,,,,,0,900,cloud development not observed or not observable,60,,5.7
1993.0,1.0,1.0,12.0,1993.0,1.0,1.0,17.0,0,,0.5,0.5,0.1,0.25,0.25,0.25,,450,2400,3600,6600,,,21.1,0.7625,0,1018,1017.8,1017.1,,25.6,16,900,cloud development not observed or not observable,,,,,,,,,,,0,900,cloud development not observed or not observable,40,,6.2
1993.0,1.0,1.0,13.0,1993.0,1.0,1.0,18.0,0,,0.4,0.1,0.25,0.25,0.4,,,450,2400,3600,6600,,,21.1,0.7902,0,1017.3,1017.2,1016.4,,25,16,,,,,,,,,,,,,0,,,20,,6.2
1993.0,1.0,1.0,14.0,1993.0,1.0,1.0,19.0,0,,0.5,0.5,0.4,0.4,0.25,,,2400,3600,6600,,,,21.1,0.7902,0,1016.3,1016.2,1015.4,,25,16,900,cloud development not observed or not observable,,,,,,,,,,,0,900,cloud development not observed or not observable,20,,5.2
1993.0,1.0,1.0,15.0,1993.0,1.0,1.0,20.0,0,,0.5,0.5,0.25,0.4,0.25,,,2400,3600,7500,,,,21.1,0.819,0,1015.9,1015.8,1015.1,,24.4,16,900,cloud development not observed or not observable,,,,,,,,,,,0,900,cloud development not observed or not observable,360,,5.7
1993.0,1.0,1.0,16.0,1993.0,1.0,1.0,21.0,0,3000,0.5,0.25,0.5,0.25,,,,300,3000,7500,,,,21.1,0.8438,0,1015.9,1015.8,1015.1,,23.9,16,900,cloud development not observed or not observable,,,,,,,,,,,0,900,cloud development not observed or not observable,360,,6.2
1993.0,1.0,1.0,17.0,1993.0,1.0,1.0,22.0,0,,0.5,0.25,0.5,0.25,0.4,,,150,450,3000,7500,,,21.1,0.8438,0,1015.9,1015.8,1015.1,,23.9,16,900,cloud development not observed or not observable,,,,,,,,,,,0,900,cloud development not observed or not observable,20,,6.2
1993.0,1.0,1.0,18.0,1993.0,1.0,1.0,23.0,0,,0.5,0.5,0.25,0.5,0.1,,,3000,6000,7500,,,,21.1,0.8748,0,1016.6,1016.5,1015.7,,23.3,16,900,cloud development not observed or not observable,,,,,,,,,,,0,900,cloud development not observed or not observable,10,,4.6
1993.0,1.0,1.0,19.0,1993.0,1.0,2.0,0.0,0,,0,0,,,,,,,,,,,,21.1,0.9017,0,,1017.2,1016.4,,22.8,12.8,,,,,,,,,,,,,0,,,20,,5.7
1993.0,1.0,1.0,20.0,1993.0,1.0,2.0,1.0,0,,0.5,0.4,0.5,,,,,600,3000,,,,,20.6,0.8744,0,1018,1017.7,1016.9,,22.8,12.8,900,cloud development not observed or not observable,,,,,,,,,,,0,900,cloud development not observed or not observable,20,,4.6
1993.0,1.0,1.0,21.0,1993.0,1.0,2.0,2.0,0,,0.4,0.1,0.4,0.25,,,,450,750,3000,,,,20.6,0.8744,0,1018.3,1018.2,1017.4,,22.8,12.8,900,cloud development not observed or not observable,,,,,,,,,,,0,900,cloud development not observed or not observable,10,,5.2
1993.0,1.0,1.0,22.0,1993.0,1.0,2.0,3.0,0,,0,0,,,,,,,,,,,,20.6,0.8744,0,1018.3,1018.4,1017.6,,22.8,12.8,900,cloud development not observed or not observable,,,,,,,,,,,0,900,cloud development not observed or not observable,10,,4.1
1993.0,1.0,1.0,23.0,1993.0,1.0,2.0,4.0,0,,0.5,0.5,0.1,0.25,,,,900,3000,,,,,21.1,0.9017,0,1018.3,1018.2,1017.4,,22.8,12.8,900,cloud development not observed or not observable,,,,,,,,,,,0,900,cloud development not observed or not observable,30,,4.1
1993.0,1.0,2.0,0.0,1993.0,1.0,2.0,5.0,0,,0.5,0.5,0.1,0.1,,,,900,3000,,,,,21.1,0.9017,0,1018,1018,1017.3,,22.8,12.8,900,cloud development not observed or not observable,,,,,,,,,,,0,900,cloud development not observed or not observable,40,,3.6
1993.0,1.0,2.0,1.0,1993.0,1.0,2.0,6.0,0,,0,0,,,,,,,,,,,,21.1,0.9017,0,,1017.7,1016.9,,22.8,16,,,,,,,,,,,,,0,,,40,,4.1
1993.0,1.0,2.0,2.0,1993.0,1.0,2.0,7.0,0,,0.75,0.75,,,,,,210,,,,,,21.1,0.9017,0,1017.6,1017.5,1016.8,,22.8,16,900,cloud development not observed or not observable,,,,,,,,,,,0,900,cloud development not observed or not observable,20,,4.6
1993.0,1.0,2.0,3.0,1993.0,1.0,2.0,8.0,0,,0.6,0.6,,,,,,210,,,,,,21.7,0.9354,0,1016.9,1016.8,1016.1,,22.8,16,900,cloud development not observed or not observable,,,,,,,,,,,0,900,cloud development not observed or not observable,30,,6.2
1993.0,1.0,2.0,4.0,1993.0,1.0,2.0,9.0,0,,0.1,0.1,,,,,,210,,,,,,21.1,0.9017,0,1016.9,1016.8,1016.1,,22.8,16,900,cloud development not observed or not observable,,,,,,,,,,,0,900,cloud development not observed or not observable,60,,5.2
1993.0,1.0,2.0,5.0,1993.0,1.0,2.0,10.0,0,210,0.9,0.9,,,,,,210,,,,,,21.1,0.9017,0,1016.9,1017,1016.3,,22.8,16,900,cloud development not observed or not observable,,,,,,,,,,,0,900,cloud development not observed or not observable,50,,6.2
1993.0,1.0,2.0,6.0,1993.0,1.0,2.0,11.0,0,,0.75,0.75,,,,,,210,,,,,,21.1,0.9017,0,1017.3,1017.2,1016.4,,22.8,16,900,cloud development not observed or not observable,,,,,,,,,,,0,900,cloud development not observed or not observable,50,,4.6
1993.0,1.0,2.0,7.0,1993.0,1.0,2.0,12.0,0,,0.5,0.25,0.5,0.5,,,,210,360,7500,,,,21.1,0.9017,0,,1017.5,1016.8,,22.8,16,,,,,,,,,,,,,0,,,60,,4.1
1993.0,1.0,2.0,8.0,1993.0,1.0,2.0,13.0,0,,0,0,,,,,,,,,,,,21.1,0.9017,0,1018.3,1018.2,1017.4,,22.8,16,900,cloud development not observed or not observable,,,,,,,,,,,0,900,cloud development not observed or not observable,70,,5.7
1993.0,1.0,2.0,9.0,1993.0,1.0,2.0,14.0,0,,0,0,,,,,,,,,,,,21.7,0.8754,0,1018.6,1018.7,1017.9,,23.9,16,900,cloud development not observed or not observable,,,,,,,,,,,0,900,cloud development not observed or not observable,50,,6.2
1993.0,1.0,2.0,10.0,1993.0,1.0,2.0,15.0,0,360,0.9,0.75,0.9,0.9,0.1,,,210,360,450,7500,,,21.7,0.8754,0,1019.6,1019.5,1018.8,,23.9,16,900,cloud development not observed or not observable,,,,,,,,,,,0,900,cloud development not observed or not observable,50,,7.2
1993.0,1.0,2.0,11.0,1993.0,1.0,2.0,16.0,0,,0.5,0.25,0.5,0.5,0.1,0,,210,360,450,3000,,,21.7,0.791,0,1019.3,1019.2,1018.5,,25.6,16,900,cloud development not observed or not observable,,,,,,,,,,,0,900,cloud development not observed or not observable,60,,8.2
1993.0,1.0,2.0,12.0,1993.0,1.0,2.0,17.0,0,,0.5,0.5,0.5,0.5,0.25,0,,240,360,450,3000,,,21.1,0.7403,0,1019,1018.9,1018.1,,26.1,16,900,cloud development not observed or not observable,,,,,,,,,,,0,900,cloud development not observed or not observable,60,,8.2
1993.0,1.0,2.0,13.0,1993.0,1.0,2.0,18.0,0,,0.5,0.25,0.5,0.5,0.1,0.1,,240,360,450,3000,,,21.1,0.7146,0,1018,1018,1017.3,,26.7,16,,,,,,,,,,,,,0,,,60,,7.2
1993.0,1.0,2.0,14.0,1993.0,1.0,2.0,19.0,0,,0.5,0.5,0.25,0.1,,,,450,7500,,,,,21.1,0.7146,0,1017.3,1017.2,1016.4,,26.7,16,900,cloud development not observed or not observable,,,,,,,,,,,0,900,cloud development not observed or not observable,80,9.7,6.7
1993.0,1.0,2.0,15.0,1993.0,1.0,2.0,20.0,0,,0.5,0.5,0.25,0.5,0.1,,,450,2400,7500,,,,20.6,0.673,0,1016.9,1016.8,1016.1,,27.2,16,900,cloud development not observed or not observable,,,,,,,,,,,0,900,cloud development not observed or not observable,80,,6.7
1993.0,1.0,2.0,16.0,1993.0,1.0,2.0,21.0,0,,0.5,0.5,0.25,0.1,0.1,,,450,2400,7500,,,,20,0.6919,0,1017.3,1017.2,1016.4,,26.1,16,900,cloud development not observed or not observable,,,,,,,,,,,0,900,cloud development not observed or not observable,70,,7.7
1993.0,1.0,2.0,17.0,1993.0,1.0,2.0,22.0,0,,0.25,0.25,0.25,0.1,,,,450,2100,7500,,,,21.1,0.7902,0,1017.6,1017.5,1016.8,,25,16,900,cloud development not observed or not observable,,,,,,,,,,,0,900,cloud development not observed or not observable,70,,7.2
1993.0,1.0,2.0,18.0,1993.0,1.0,2.0,23.0,0,,0.1,0.1,0.1,0.1,,,,450,2100,7500,,,,20,0.7886,0,1018,1017.8,1017.1,,23.9,16,900,cloud development not observed or not observable,,,,,,,,,,,0,900,cloud development not observed or not observable,70,9.7,6.7
1993.0,1.0,2.0,19.0,1993.0,1.0,3.0,0.0,0,,0.5,0.25,0.5,0.25,,,,450,2400,7500,,,,20.6,0.7942,0,,1018.2,1017.4,,24.4,16,,,,,,,,,,,,,0,,,70,10.2,7.2
1993.0,1.0,2.0,20.0,1993.0,1.0,3.0,1.0,0,,0.25,0.1,0.1,0.25,,,,450,2400,7500,,,,20,0.7886,0,1019,1018.9,1018.1,,23.9,16,900,cloud development not observed or not observable,,,,,,,,,,,0,900,cloud development not observed or not observable,60,10.8,8.8
1993.0,1.0,2.0,21.0,1993.0,1.0,3.0,2.0,0,,0.25,0.1,0.25,0.25,,,,450,2400,7500,,,,20.6,0.8183,0,1019.3,1019.2,1018.5,,23.9,16,900,cloud development not observed or not observable,,,,,,,,,,,0,900,cloud development not observed or not observable,60,11.8,8.8
1993.0,1.0,2.0,22.0,1993.0,1.0,3.0,3.0,0,,0.25,0.25,0.25,0.1,,,,450,2400,7500,,,,20.6,0.8744,0.3,1019.6,1019.5,1018.8,,22.8,16,900,cloud development not observed or not observable,,,,,,,,,,,0,900,cloud development not observed or not observable,60,10.2,6.7
1993.0,1.0,2.0,23.0,1993.0,1.0,3.0,4.0,0,,0.25,0.25,0.25,0.1,,,,450,2400,7500,,,,21.1,0.8748,0,1019.6,1019.4,1018.6,,23.3,16,900,cloud development not observed or not observable,,,,,,,,,,,0,900,cloud development not observed or not observable,60,10.8,6.2
1993.0,1.0,3.0,0.0,1993.0,1.0,3.0,5.0,0,420,0.25,0.25,0.1,0.1,,,,300,2400,7500,,,,21.1,0.8748,0,1019,1018.9,1018.1,,23.3,16,900,cloud development not observed or not observable,,,,,,,,,,,0,900,cloud development not observed or not observable,60,11.8,7.7
1993.0,1.0,3.0,1.0,1993.0,1.0,3.0,6.0,0,,0.25,0.25,0.1,0.25,0.1,,,420,1050,2400,7500,,,21.1,0.9017,0.3,,1018.7,1017.9,,22.8,16,925,showers of rain,,,,,,,,,,,3,925,showers of rain,60,10.8,7.7
1993.0,1.0,3.0,2.0,1993.0,1.0,3.0,7.0,0,450,0.5,0.25,0.5,0.1,,,,300,450,2400,,,,20.6,0.8744,0,1018.3,1018.4,1017.6,,22.8,16,980,showers of light rain,900,cloud development not observed or not observable,,,,,,,,,2,980,showers of light rain,60,9.7,7.2
1993.0,1.0,3.0,3.0,1993.0,1.0,3.0,8.0,0,,0.5,0.1,0.5,0.25,,,,210,450,2400,,,,21.1,0.9017,0,1018,1018,1017.3,,22.8,16,900,cloud development not observed or not observable,,,,,,,,,,,0,900,cloud development not observed or not observable,60,,7.7
1993.0,1.0,3.0,4.0,1993.0,1.0,3.0,9.0,0,15,0,0,1,,,,,15,450,,,,,21.1,0.9017,0,1017.6,1017.7,1016.9,,22.8,16,981,showers of rain,900,cloud development not observed or not observable,,,,,,,,,3,981,showers of rain,60,,6.2
1993.0,1.0,3.0,5.0,1993.0,1.0,3.0,10.0,0,15,0.6,0.6,0.25,,,,,450,2400,,,,,21.1,0.9017,3,1017.6,1017.7,1016.9,,22.8,16,980,showers of light rain,900,cloud development not observed or not observable,,,,,,,,,2,980,showers of light rain,60,,7.7
1993.0,1.0,3.0,6.0,1993.0,1.0,3.0,11.0,0,,0.4,0.25,0.4,0.1,0.1,,,450,1080,2400,7500,,,21.7,0.9354,1.3,1018,1018,1017.3,,22.8,16,900,cloud development not observed or not observable,,,,,,,,,,,0,900,cloud development not observed or not observable,60,,5.2
1993.0,1.0,3.0,7.0,1993.0,1.0,3.0,12.0,0,,0.5,0.5,0.5,0.25,0.1,,,450,2400,7500,,,,21.7,0.9354,0,1018.6,1018.5,1017.8,,22.8,16,902,state of sky on the whole unchanged,,,,,,,,,,,0,902,state of sky on the whole unchanged,60,,7.2
1993.0,1.0,3.0,8.0,1993.0,1.0,3.0,13.0,0,450,0.5,0.25,0.5,0.1,0.1,0,,360,420,450,2400,,,21.1,0.9017,0,1019.3,1019.2,1018.5,,22.8,16,980,showers of light rain,900,cloud development not observed or not observable,,,,,,,,,2,980,showers of light rain,70,,5.2
1993.0,1.0,3.0,9.0,1993.0,1.0,3.0,14.0,0,2400,0.4,0.4,0.25,0.1,0.1,,,420,450,2400,7500,,,21.7,0.9354,0.8,1020.3,1020.2,1019.5,,22.8,11.2,900,cloud development not observed or not observable,,,,,,,,,,,0,900,cloud development not observed or not observable,70,,6.2
1993.0,1.0,3.0,10.0,1993.0,1.0,3.0,15.0,0,450,0.5,0.5,0.1,0.1,0,,,450,600,2400,2400,,,22.2,0.8758,0,1020.7,1020.6,1019.8,,24.4,16,980,showers of light rain,900,cloud development not observed or not observable,,,,,,,,,2,980,showers of light rain,80,11.3,6.2
1993.0,1.0,3.0,11.0,1993.0,1.0,3.0,16.0,0,,0.5,0.1,0.5,0.25,,,,360,900,7500,,,,22.2,0.845,0.3,1020.7,1020.4,1019.6,,25,16,900,cloud development not observed or not observable,,,,,,,,,,,0,900,cloud development not observed or not observable,80,9.2,6.7
1993.0,1.0,3.0,12.0,1993.0,1.0,3.0,17.0,0,,0.5,0.1,0.5,0.1,,,,360,900,7500,,,,21.7,0.768,0,1020,1020,1019.3,,26.1,16,900,cloud development not observed or not observable,,,,,,,,,,,0,900,cloud development not observed or not observable,90,,6.2
1993.0,1.0,3.0,13.0,1993.0,1.0,3.0,18.0,0,2400,0.4,0.25,0.4,0.9,0.9,,,360,900,2400,7500,,,21.7,0.768,0,1019.3,1019.2,1018.5,,26.1,16,900,cloud development not observed or not observable,902,state of sky on the whole unchanged,,,,,,,,,0,900,cloud development not observed or not observable,90,10.2,7.2
1993.0,1.0,3.0,14.0,1993.0,1.0,3.0,19.0,0,,0.25,0.25,0.25,0.25,0.25,,,450,600,2400,7500,,,21.7,0.8197,0,1018.6,1018.5,1017.8,,25,16,900,cloud development not observed or not observable,,,,,,,,,,,0,900,cloud development not observed or not observable,90,9.7,6.7
1993.0,1.0,3.0,15.0,1993.0,1.0,3.0,20.0,0,,0.25,0.25,0.25,0.25,0.1,,,450,600,2400,7500,,,21.7,0.791,0.3,1018.3,1018.2,1017.4,,25.6,12.8,980,showers of light rain,,,,,,,,,,,2,980,showers of light rain,80,11.3,7.2
1993.0,1.0,3.0,16.0,1993.0,1.0,3.0,21.0,0,,0.5,0.5,0.25,0.1,,,,600,7500,,,,,21.7,0.791,0,1018.3,1018.2,1017.4,,25.6,16,900,cloud development not observed or not observable,,,,,,,,,,,0,900,cloud development not observed or not observable,80,10.8,7.2
1993.0,1.0,3.0,17.0,1993.0,1.0,3.0,22.0,0,,0.25,0.25,0.25,0.1,,,,600,2400,7500,,,,21.1,0.7902,0,1018.3,1018.2,1017.4,,25,16,900,cloud development not observed or not observable,,,,,,,,,,,0,900,cloud development not observed or not observable,90,10.8,7.2
1993.0,1.0,3.0,18.0,1993.0,1.0,3.0,23.0,0,2400,0.6,0.6,0.25,0.1,,,,600,2400,7500,,,,21.1,0.819,0.3,1019,1018.9,1018.1,,24.4,11.2,980,showers of light rain,900,cloud development not observed or not observable,,,,,,,,,2,980,showers of light rain,90,10.8,7.7
1993.0,1.0,3.0,19.0,1993.0,1.0,4.0,0.0,0,,0.5,0.25,0.5,0.25,,,,360,2400,7500,,,,21.1,0.8748,0.5,,1018.9,1018.1,,23.3,16,925,showers of rain,,,,,,,,,,,3,925,showers of rain,70,10.2,7.7
1993.0,1.0,3.0,20.0,1993.0,1.0,4.0,1.0,0,,0.25,0.25,0.25,0.1,,,,450,2400,7500,,,,21.1,0.8438,0,1019.3,1019.2,1018.5,,23.9,16,900,cloud development not observed or not observable,,,,,,,,,,,0,900,cloud development not observed or not observable,90,,7.2
1993.0,1.0,3.0,21.0,1993.0,1.0,4.0,2.0,0,,0.25,0.25,0.25,,,,,450,7500,,,,,21.1,0.8438,0,1019.3,1019.2,1018.5,,23.9,16,900,cloud development not observed or not observable,,,,,,,,,,,0,900,cloud development not observed or not observable,70,,7.2
1993.0,1.0,3.0,22.0,1993.0,1.0,4.0,3.0,0,,0.25,0.25,0.25,0.1,,,,450,2400,7500,,,,21.1,0.8748,0,1019.6,1019.5,1018.8,,23.3,16,900,cloud development not observed or not observable,,,,,,,,,,,0,900,cloud development not observed or not observable,70,,6.2
1993.0,1.0,3.0,23.0,1993.0,1.0,4.0,4.0,0,,0.25,0.25,0.25,0.25,,,,450,2400,7500,,,,21.7,0.9075,0,1019.3,1019.2,1018.5,,23.3,16,900,cloud development not observed or not observable,,,,,,,,,,,0,900,cloud development not observed or not observable,60,,6.2
1993.0,1.0,4.0,0.0,1993.0,1.0,4.0,5.0,0,,0.25,0.25,0.25,0.25,0.1,,,300,450,2400,7500,,,21.7,0.9075,0,1019,1018.9,1018.1,,23.3,16,900,cloud development not observed or not observable,,,,,,,,,,,0,900,cloud development not observed or not observable,60,,6.2
1993.0,1.0,4.0,1.0,1993.0,1.0,4.0,6.0,0,,0.1,0.1,0.1,,,,,300,450,,,,,21.7,0.9354,0,,1018.5,1017.8,,22.8,16,,,,,,,,,,,,,0,,,60,,6.7
1993.0,1.0,4.0,2.0,1993.0,1.0,4.0,7.0,0,,0.5,0.1,0.5,0.1,,,,210,450,1050,,,,21.7,0.9354,0,1018.3,1018.2,1017.4,,22.8,11.2,980,showers of light rain,,,,,,,,,,,2,980,showers of light rain,80,,4.1
1993.0,1.0,4.0,3.0,1993.0,1.0,4.0,8.0,0,2400,0.75,0.75,0.25,0.9,,,,450,1050,7500,,,,22.2,0.9356,0,1018.3,1018.2,1017.4,,23.3,16,900,cloud development not observed or not observable,,,,,,,,,,,0,900,cloud development not observed or not observable,80,,3.1
1993.0,1.0,4.0,4.0,1993.0,1.0,4.0,9.0,0,,0.25,0.1,0.1,0.25,,,,450,1050,7500,,,,21.7,0.8496,0,1018,1017.8,1017.1,,24.4,16,900,cloud development not observed or not observable,,,,,,,,,,,0,900,cloud development not observed or not observable,120,,5.7
1993.0,1.0,4.0,5.0,1993.0,1.0,4.0,10.0,0,,0.25,0.1,0.25,,,,,1050,7500,,,,,21.7,0.8496,0,1018,1018,1017.3,,24.4,16,900,cloud development not observed or not observable,,,,,,,,,,,0,900,cloud development not observed or not observable,130,,7.2
1993.0,1.0,4.0,6.0,1993.0,1.0,4.0,11.0,0,,0.25,0.1,0.25,,,,,1050,7500,,,,,21.1,0.819,0,1018.3,1018.2,1017.4,,24.4,16,900,cloud development not observed or not observable,,,,,,,,,,,0,900,cloud development not observed or not observable,130,,7.2
1993.0,1.0,4.0,7.0,1993.0,1.0,4.0,12.0,0,,0.5,0.5,0.25,0.1,,,,450,7500,,,,,21.1,0.7902,0,,1018.7,1017.9,,25,16,902,state of sky on the whole unchanged,,,,,,,,,,,0,902,state of sky on the whole unchanged,140,,6.7
1993.0,1.0,4.0,8.0,1993.0,1.0,4.0,13.0,0,,0.5,0.5,0.1,0.5,0.1,,,450,3600,7500,,,,21.7,0.8197,0,1019.3,1019,1018.3,,25,16,900,cloud development not observed or not observable,,,,,,,,,,,0,900,cloud development not observed or not observable,140,,6.2
1993.0,1.0,4.0,9.0,1993.0,1.0,4.0,14.0,0,,0.5,0.1,0.5,0.1,,,,360,3600,7500,,,,21.7,0.791,0,1020,1020,1019.3,,25.6,16,900,cloud development not observed or not observable,,,,,,,,,,,0,900,cloud development not observed or not observable,130,,6.7
1993.0,1.0,4.0,10.0,1993.0,1.0,4.0,15.0,0,,0.25,0.25,0.1,0.1,,,,360,450,7500,,,,22.2,0.7917,0,1020.7,1020.7,1020,,26.1,16,900,cloud development not observed or not observable,,,,,,,,,,,0,900,cloud development not observed or not observable,140,,5.7
1993.0,1.0,4.0,11.0,1993.0,1.0,4.0,16.0,0,,0.5,0.5,0.1,0.1,0.5,0,,360,450,3600,7500,,,22.2,0.7643,0,1021,1020.9,1020.1,,26.7,16,900,cloud development not observed or not observable,,,,,,,,,,,0,900,cloud development not observed or not observable,130,,6.7
1993.0,1.0,4.0,12.0,1993.0,1.0,4.0,17.0,0,,0.5,0.25,0.1,0.5,0.25,,,360,450,3600,7500,,,22.2,0.7643,0,1020.3,1020.2,1019.5,,26.7,16,900,cloud development not observed or not observable,,,,,,,,,,,0,900,cloud development not observed or not observable,120,,6.2
1993.0,1.0,4.0,13.0,1993.0,1.0,4.0,18.0,0,,0.25,0.1,0.25,0.1,0.25,,,360,450,3600,7500,,,22.8,0.8211,0.3,1019.3,1019.4,1018.6,,26.1,16,916,nearby precipitation,,,,,,,,,,,12,916,nearby precipitation,130,,8.8
1993.0,1.0,4.0,14.0,1993.0,1.0,4.0,19.0,0,,0.25,0.25,0.25,0.25,0.1,,,450,900,3000,7500,,,21.7,0.791,0,1018.3,1018.2,1017.4,,25.6,16,900,cloud development not observed or not observable,,,,,,,,,,,0,900,cloud development not observed or not observable,120,,4.6
1993.0,1.0,4.0,15.0,1993.0,1.0,4.0,20.0,0,,0.25,0.25,0.25,0.25,0.25,,,450,750,3000,7500,,,22.8,0.8211,0,1018,1017.8,1017.1,,26.1,16,900,cloud development not observed or not observable,,,,,,,,,,,0,900,cloud development not observed or not observable,140,,6.2
1993.0,1.0,4.0,16.0,1993.0,1.0,4.0,21.0,0,,0.5,0.1,0.25,0.1,0.5,,,450,750,3000,7500,,,22.8,0.8764,0.5,1017.6,1017.5,1016.8,,25,16,900,cloud development not observed or not observable,,,,,,,,,,,0,900,cloud development not observed or not observable,130,,6.2
1993.0,1.0,4.0,17.0,1993.0,1.0,4.0,22.0,0,,0.75,0.75,0.25,0.1,,,,,,,,,,21.7,0.791,0,,1017.5,1016.8,,25.6,16,,,,,,,,,,,,,0,,,120,,6.2
1993.0,1.0,4.0,18.0,1993.0,1.0,4.0,23.0,0,,0.6,0.5,0.25,0.6,,,,3000,7500,,,,,22.2,0.845,0,1017.6,1017.5,1016.8,,25,16,900,cloud development not observed or not observable,,,,,,,,,,,0,900,cloud development not observed or not observable,120,,5.7
1993.0,1.0,4.0,19.0,1993.0,1.0,5.0,0.0,0,7500,0.9,0.9,0.75,,,,,7500,,,,,,22.8,0.8764,0,1018,1017.8,1017.1,,25,16,901,clouds generally dissolving or becoming less developed,,,,,,,,,,,0,901,clouds generally dissolving or becoming less developed,100,,4.1
1993.0,1.0,4.0,20.0,1993.0,1.0,5.0,1.0,0,,0.5,0.1,0.25,0.5,,,,450,3000,7500,,,,22.2,0.845,0,1019,1018.7,1017.9,,25,16,900,cloud development not observed or not observable,,,,,,,,,,,0,900,cloud development not observed or not observable,120,,6.2
1993.0,1.0,4.0,21.0,1993.0,1.0,5.0,2.0,0,,0.4,0.25,0.1,0.4,,,,450,3000,7500,,,,22.2,0.845,0,1019.3,1019.2,1018.5,,25,16,900,cloud development not observed or not observable,,,,,,,,,,,0,900,cloud development not observed or not observable,130,,5.7
